epoch,loss,val_loss
0,38307.18359375,14141.90234375
1,12018.6328125,10190.7763671875
2,8756.25,7294.7119140625
3,6461.76953125,6002.23193359375
4,5277.76806640625,4884.9453125
5,4554.44775390625,4536.298828125
6,4255.58447265625,3999.86572265625
7,3830.75048828125,3541.123291015625
8,3508.61181640625,3387.863037109375
9,3209.49951171875,3118.757568359375
10,2961.922607421875,3034.756103515625
11,4073.23828125,3468.287353515625
12,2773.77685546875,2875.335693359375
13,2597.29931640625,2725.087890625
14,2481.60302734375,2183.601806640625
15,2343.65283203125,2232.653076171875
16,2325.534912109375,2285.00927734375
17,2207.610595703125,2368.749755859375
18,2055.14501953125,1549.143310546875
19,1546.5609130859375,1466.130615234375
20,1355.540283203125,1184.052001953125
21,2300.439697265625,1433.5819091796875
22,948.3054809570312,678.194580078125
23,876.46240234375,830.6482543945312
24,223.99078369140625,369.9408264160156
25,-211.83778381347656,-184.65948486328125
26,-418.3256530761719,-63.0160026550293
27,-513.1346435546875,-989.6502685546875
28,-376.13226318359375,1929.6390380859375
29,-476.0544128417969,-2006.218505859375
30,2116.4521484375,296.9783020019531
31,-1069.0133056640625,-1354.7100830078125
32,2673.053955078125,385.1689758300781
33,-956.525634765625,-1180.1964111328125
34,-1914.5584716796875,-2015.8369140625
35,1986.2054443359375,-1810.694580078125
36,-208.6304473876953,-2000.13818359375
37,2037.3421630859375,50753.75390625
38,1746.6787109375,90.69579315185547
39,-1533.935791015625,-1795.6011962890625
40,-1894.1846923828125,-2766.363525390625
41,-2988.81689453125,-2970.17236328125
42,-3482.65185546875,-4103.541015625
43,-3995.144775390625,-3746.184814453125
44,-4168.4033203125,-4159.76513671875
45,-4459.4541015625,-4396.63330078125
46,-3198.3466796875,-1752.8912353515625
47,-4137.6748046875,-4525.4326171875
48,-4856.6591796875,-5339.14794921875
49,-5022.12255859375,-4797.9091796875
50,-5002.30224609375,-4765.7890625
51,-5024.62646484375,-5554.84033203125
52,-5349.82275390625,-5388.01953125
53,-5371.6103515625,-5342.43994140625
54,-5459.6904296875,-5981.57666015625
55,-5586.611328125,-6110.1826171875
56,-5801.87158203125,-6132.36181640625
57,-5858.60595703125,-6062.79150390625
58,-5726.794921875,-5747.0048828125
59,-5396.05908203125,-4486.43017578125
60,-5561.65966796875,-6028.56689453125
61,-5486.6318359375,-5479.2685546875
62,-5359.36328125,-6120.76806640625
63,-5497.61328125,-5728.08056640625
64,-5510.197265625,-5442.93994140625
65,-5782.75634765625,-5762.59375
66,-5052.251953125,-5960.55810546875
67,-5452.2939453125,-4976.11181640625
68,-5705.37451171875,-5551.61376953125
69,-5691.197265625,-5425.67138671875
70,-5750.4609375,-4604.52490234375
71,-5997.97314453125,-5611.83984375
72,-5889.80712890625,-6455.12255859375
73,-5903.54443359375,-5452.36083984375
74,-5996.4423828125,-5721.6572265625
75,-6018.46337890625,-6316.93212890625
76,-5571.90625,-5940.5654296875
77,-5450.83154296875,-2375.293212890625
78,-5537.69287109375,-6375.8046875
79,-5577.88232421875,-6080.8544921875
80,-5474.64404296875,-4241.578125
81,-5332.9189453125,458.88165283203125
82,-5748.03955078125,-6448.2705078125
83,-5834.46142578125,-5991.29638671875
84,-5310.19091796875,115.3319091796875
85,-1663.708984375,287.9048156738281
86,-3710.457275390625,-5217.68505859375
87,-3754.967529296875,-186.71604919433594
88,-3374.078369140625,-3895.886474609375
89,-5327.14404296875,-5343.2607421875
90,-5109.61083984375,-3528.84765625
91,-5555.208984375,-5912.01708984375
92,-5828.41552734375,-5184.681640625
93,-6018.109375,-6332.08251953125
94,-5738.52294921875,-6360.44677734375
95,-4810.92333984375,-6070.59765625
96,-4472.328125,-5413.8642578125
97,-5114.9833984375,-4616.92041015625
98,-5316.8466796875,-4726.560546875
99,-2578.24267578125,-4464.2666015625
100,-5120.638671875,-5958.64013671875
101,-4372.50830078125,-4760.5166015625
102,-4903.63916015625,-6002.45458984375
103,-5428.10205078125,-4598.50634765625
104,-5437.90478515625,-5589.8818359375
105,-5254.64794921875,-6053.48974609375
106,-5500.607421875,-5985.65869140625
107,-6134.8798828125,-6550.052734375
108,-6370.44482421875,-6599.25341796875
109,-6291.6513671875,-6563.1494140625
110,-6349.87158203125,-6489.62548828125
111,-6399.9365234375,-6950.7802734375
112,-6612.126953125,-6319.873046875
113,-6181.10498046875,-1576.793212890625
114,-5057.017578125,-399.6684875488281
115,-5955.52001953125,-5520.333984375
116,-6589.5625,-5287.474609375
117,-6612.03759765625,-5995.8603515625
118,-6640.80322265625,-6591.216796875
119,-6462.58203125,-6500.01611328125
120,-6459.5283203125,-7120.1572265625
121,-6816.21484375,-6797.13134765625
122,-6826.46484375,-7309.79150390625
123,-6640.6845703125,-6355.15966796875
124,-6801.69384765625,-7118.1171875
125,-6765.1015625,-7009.30322265625
126,-6602.16748046875,-5956.521484375
127,-6698.50732421875,-6997.080078125
128,-6329.6220703125,-7023.17333984375
129,-2338.871826171875,-3419.888671875
130,-4850.13427734375,-5658.9228515625
131,-5967.16796875,-6361.34814453125
132,-6332.0078125,-6445.22998046875
133,-6332.2568359375,-6091.93896484375
134,-6744.005859375,-6278.8408203125
135,-6744.0537109375,-7040.1005859375
136,-3710.802978515625,-4600.85009765625
137,-5987.55224609375,-6542.3115234375
138,-6512.64990234375,-4829.8125
139,-5558.689453125,-5739.70556640625
140,-6480.58056640625,-7027.36865234375
141,-7112.994140625,-7314.95947265625
142,-7142.80419921875,-7405.17822265625
143,-6984.17138671875,-7353.65478515625
144,-7062.697265625,-5952.49609375
145,-7054.390625,-7147.86865234375
146,-6981.86865234375,-5329.1845703125
147,-7084.40478515625,-6661.25048828125
148,-7210.50244140625,-7446.1650390625
149,-7247.6640625,-7734.375
150,-7285.58740234375,-6504.6474609375
151,-7450.56982421875,-7269.19189453125
152,-7182.01123046875,-7337.03564453125
153,-7408.98779296875,-7308.31640625
154,-3508.828857421875,-3052.537353515625
155,-3721.944091796875,-6874.93896484375
156,-6796.3466796875,-7045.0234375
157,-6814.1376953125,-2602.416015625
158,-6095.15771484375,-7413.9755859375
159,-6866.4443359375,-5588.1015625
160,-6757.90673828125,-7219.4619140625
161,-6608.93994140625,-7421.6826171875
162,-6897.59326171875,-7149.06201171875
163,-6935.17041015625,-7839.3505859375
164,-7085.50537109375,-7916.35888671875
165,-7025.67529296875,-6832.78955078125
166,-7153.72705078125,-7913.001953125
167,-7192.89892578125,-7782.60400390625
168,-7218.689453125,-7434.59521484375
169,-7410.20751953125,-7924.5537109375
170,-7376.36669921875,-6821.95849609375
171,-7361.35986328125,-7619.3935546875
172,-6106.93212890625,-7085.4130859375
173,-6462.4287109375,-6665.06298828125
174,-6049.25146484375,-2666.079345703125
175,-4673.27392578125,-6754.53759765625
176,-7071.40380859375,-7896.88134765625
177,-7474.33349609375,-7305.75048828125
178,-7374.5068359375,-5596.5576171875
179,-7140.9228515625,-7626.984375
180,-7332.69189453125,-8111.62353515625
181,-7499.87158203125,-6470.48583984375
182,-7514.2373046875,-7805.87451171875
183,-7604.951171875,-7854.9189453125
184,-7553.53515625,-6853.61181640625
185,-7479.42236328125,-6008.8759765625
186,-6656.58837890625,-5912.34130859375
187,-6564.05908203125,-3292.7392578125
188,-6756.05029296875,-7440.39794921875
189,-6820.9833984375,-7312.3974609375
190,-6886.7177734375,-7388.83984375
191,-7084.5849609375,-7615.32373046875
192,-7227.984375,-7047.24365234375
193,-7483.31787109375,-7624.8310546875
194,-7352.95263671875,-6877.95263671875
195,-6980.46484375,-7160.6611328125
196,-7085.486328125,-7480.6328125
197,-7098.6376953125,-5521.98193359375
198,-7168.9755859375,-7232.0302734375
199,-7603.1943359375,-8041.212890625
200,-7649.376953125,-7845.5673828125
201,-7639.5703125,-8203.1552734375
202,-7339.4814453125,-7645.90869140625
203,-7265.8984375,-7789.45654296875
204,-7273.7138671875,-8150.1240234375
205,-7193.91552734375,-8761.3466796875
206,-7576.36767578125,-7585.498046875
207,-7321.0439453125,-5595.36767578125
208,-7369.6953125,-7761.486328125
209,-7459.259765625,-7948.4130859375
210,-7387.0224609375,-7812.86279296875
