epoch,loss,val_loss
0,40755.30078125,16361.1279296875
1,13645.4345703125,11355.61328125
2,10323.4443359375,9503.91796875
3,8788.447265625,8201.4287109375
4,7720.56201171875,7297.02880859375
5,6951.99609375,6651.5546875
6,6317.4873046875,5803.03173828125
7,5649.8720703125,5404.669921875
8,5093.89794921875,4937.2734375
9,4752.84130859375,4274.49951171875
10,5877.0751953125,4049.3603515625
11,4482.7587890625,4066.607177734375
12,4214.3369140625,3918.8525390625
13,3851.988525390625,3271.48583984375
14,3471.101806640625,3155.766357421875
15,3187.224365234375,2984.95068359375
16,3127.1376953125,2803.06005859375
17,2857.991455078125,2951.0576171875
18,2815.89013671875,2648.32373046875
19,2609.37890625,2297.343994140625
20,2485.70263671875,2670.267333984375
21,2432.29296875,2184.0927734375
22,5065.3701171875,3130.739013671875
23,2975.2109375,2360.731201171875
24,2604.469482421875,2295.38916015625
25,2306.696533203125,1811.9937744140625
26,1806.586669921875,1868.8837890625
27,1813.3125,1583.3748779296875
28,1713.024169921875,1523.7947998046875
29,2425.097900390625,2249.685302734375
30,1666.23876953125,1394.1346435546875
31,1736.1240234375,1393.605224609375
32,1558.6417236328125,1414.1268310546875
33,1249.3514404296875,969.6568603515625
34,1030.6546630859375,838.0623779296875
35,901.7510375976562,745.9840698242188
36,1698.1964111328125,1689.034912109375
37,1141.7889404296875,891.4373779296875
38,838.3525390625,902.0718383789062
39,1001.882080078125,1080.073974609375
40,689.5339965820312,518.3271484375
41,955.4132080078125,523.2922973632812
42,922.0927124023438,296.4925842285156
43,137.5795440673828,-83.11573791503906
44,352.1309509277344,401.04071044921875
45,435.3101806640625,1497.034912109375
46,-34.12439727783203,-323.9501953125
47,-839.1687622070312,-1030.0538330078125
48,-1197.7177734375,-1297.7562255859375
49,-1590.762451171875,-1627.6947021484375
50,407.1024169921875,-847.5389404296875
51,-925.99951171875,-2457.40478515625
52,-2636.533935546875,-2877.810791015625
53,-2487.2763671875,-3834.308349609375
54,-2997.69970703125,-3977.48583984375
55,-2186.214599609375,-3216.895751953125
56,-2580.911865234375,-3916.016357421875
57,-3239.047607421875,-2511.09423828125
58,-3549.6171875,-4222.3759765625
59,-4419.07470703125,-4738.85400390625
60,-4383.177734375,-4773.84814453125
61,-4837.568359375,-5208.0078125
62,-1247.1373291015625,-3224.25927734375
63,-4092.677734375,-4830.2353515625
64,-4663.12353515625,-4752.61474609375
65,-4250.9130859375,-4583.02099609375
66,-3560.05517578125,-4777.1767578125
67,-4846.705078125,-5078.32177734375
68,-4673.24169921875,-4979.65771484375
69,-4467.92431640625,-4074.991943359375
70,-4779.97607421875,-5174.14892578125
71,-5038.6484375,-5051.74560546875
72,-4289.705078125,-3879.203369140625
73,-4346.04296875,-5318.013671875
74,-5093.26318359375,-5050.1708984375
75,-3239.3642578125,-2316.2685546875
76,-4177.7236328125,-4753.37548828125
77,-4904.57958984375,-5740.04541015625
78,-5298.7109375,-5558.880859375
79,-4320.68994140625,-5798.3349609375
80,-5114.111328125,-5379.59619140625
81,-5495.27001953125,-5186.7841796875
82,-5464.78759765625,-5480.28759765625
83,-5532.6025390625,-6031.7607421875
84,-5674.455078125,-6062.65185546875
85,-5935.50732421875,-5963.064453125
86,-5958.9873046875,-6149.88134765625
87,-4599.12890625,-5663.25048828125
88,-6019.419921875,-6465.84619140625
89,-6120.91796875,-6477.216796875
90,-6136.626953125,-6370.34130859375
91,-6119.509765625,-6486.33349609375
92,-6221.37353515625,-6381.5068359375
93,-6193.7236328125,-6384.23974609375
94,-6252.92333984375,-6187.85693359375
95,-6233.83203125,-6533.1962890625
96,-6200.54345703125,-6448.83740234375
97,-6483.3271484375,-6361.8134765625
98,-6497.51806640625,-6513.2431640625
99,-6605.78857421875,-6743.59521484375
100,-6178.69873046875,-6552.314453125
101,-6572.55908203125,-6612.78125
102,-6133.263671875,-5010.76220703125
103,-6403.49462890625,-6397.572265625
104,-6560.41455078125,-6410.2763671875
105,-5360.234375,-4159.453125
106,-5485.3388671875,-6205.9306640625
107,-6660.65771484375,-6534.9716796875
108,-6691.59814453125,-6699.224609375
109,-6623.1923828125,-6684.6865234375
110,-6655.16748046875,-5526.18896484375
111,-6696.5634765625,-6392.0537109375
112,-6692.7470703125,-6761.97119140625
113,-6765.31298828125,-7172.69775390625
114,-6779.755859375,-6977.087890625
115,-6936.92041015625,-6948.2607421875
116,-6944.873046875,-7254.36181640625
117,-6987.79638671875,-6754.04931640625
118,-6940.306640625,-6690.818359375
119,-6979.0947265625,-7278.501953125
120,-6947.49365234375,-6999.083984375
121,-6836.93994140625,-6558.16748046875
122,-6750.92919921875,-7078.1845703125
123,-6646.22900390625,-6957.5712890625
124,-6688.3984375,-6021.0947265625
125,-6773.5771484375,-5997.54296875
126,-6877.541015625,-6989.05712890625
127,-6869.23486328125,-6586.2373046875
128,-6906.728515625,-7294.9072265625
129,-7003.62939453125,-7300.18505859375
130,-6968.94189453125,-7199.1279296875
131,-7050.4033203125,-7218.7392578125
132,-6907.39404296875,-7008.7646484375
133,-7051.48681640625,-7303.3837890625
134,-7143.09814453125,-7024.5302734375
135,-7174.8828125,-7289.46826171875
136,-7168.96923828125,-7182.32666015625
137,-7178.03564453125,-6493.71142578125
138,-7273.0751953125,-7221.291015625
139,-7181.17724609375,-7579.33203125
140,-7253.3681640625,-7726.0498046875
141,-7286.263671875,-7590.71728515625
142,-7304.83251953125,-7556.17236328125
143,-7288.845703125,-7048.96728515625
144,-7469.70849609375,-7568.81005859375
145,-7442.04638671875,-5902.919921875
146,-7298.3056640625,-7004.3994140625
147,-7292.849609375,-6090.29150390625
148,-4630.9013671875,-7294.37109375
149,-7529.57958984375,-7655.3798828125
150,-7525.53173828125,-7361.65576171875
151,-7355.43017578125,-7184.59912109375
152,-5099.3154296875,-6911.97607421875
153,-7208.46484375,-7139.5068359375
154,-7450.2509765625,-7130.06201171875
155,-7628.60107421875,-7284.25244140625
156,-7627.2587890625,-8087.68212890625
157,-7684.84326171875,-7304.70751953125
158,-7651.13037109375,-7587.818359375
159,-6010.42724609375,-5463.69287109375
160,-6636.619140625,-7788.57958984375
161,-6078.388671875,-6528.48876953125
162,-7392.875,-7764.94677734375
163,-6966.63427734375,-6311.5205078125
164,-7005.06591796875,-7109.31298828125
165,-7170.77685546875,-7487.46630859375
166,-7183.44970703125,-7545.53076171875
