epoch,loss,val_loss
0,50485.25,17205.9296875
1,14815.92578125,12300.658203125
2,11358.091796875,10163.90234375
3,9033.1279296875,7687.45458984375
4,7016.87353515625,5928.27001953125
5,5750.6484375,7798.6591796875
6,5134.18115234375,4952.7060546875
7,4608.45361328125,4412.77880859375
8,4129.73974609375,4026.68017578125
9,3813.107666015625,3754.593017578125
10,3606.240966796875,3283.311767578125
11,3387.7822265625,3147.90966796875
12,3060.3564453125,3304.43359375
13,2569.80029296875,2298.190673828125
14,2477.129150390625,2311.560302734375
15,2229.6650390625,2138.974853515625
16,1991.2066650390625,1737.23974609375
17,1844.4849853515625,1495.3563232421875
18,1844.1986083984375,1405.025146484375
19,1497.3011474609375,1347.1275634765625
20,1722.94873046875,2072.77001953125
21,1772.4154052734375,1654.7879638671875
22,1217.978271484375,1194.452392578125
23,1193.1007080078125,1509.0146484375
24,1075.152587890625,693.7449340820312
25,972.984619140625,542.306884765625
26,1105.776123046875,1030.94140625
27,731.7936401367188,368.44561767578125
28,433.0700988769531,866.21826171875
29,539.2205200195312,956.1691284179688
30,533.5142822265625,-81.5212173461914
31,278.559814453125,233.88302612304688
32,203.5209503173828,427.38616943359375
33,41.53074264526367,-89.72173309326172
34,-183.3125762939453,32.38066482543945
35,-385.78009033203125,-292.3539733886719
36,-276.8038330078125,85.08966827392578
37,-411.4418029785156,-289.0403137207031
38,-470.4721374511719,-953.4367065429688
39,-685.5232543945312,-530.3582763671875
40,-655.3201293945312,-1164.1826171875
41,-824.0092163085938,-917.0432739257812
42,-933.4091186523438,-1516.9345703125
43,-1167.8057861328125,-699.1185913085938
44,-1538.7376708984375,-1138.6041259765625
45,-1367.4796142578125,-1006.69580078125
46,-1599.9273681640625,-601.2691040039062
47,-1664.6942138671875,-1909.113037109375
48,-1883.75537109375,-2119.964599609375
49,-1893.3409423828125,-1781.181396484375
50,-2319.439453125,-2611.049560546875
51,-2286.637939453125,-1818.949462890625
52,-2321.54833984375,-2849.28515625
53,-2497.34912109375,-2747.966796875
54,-2778.773193359375,-3352.12939453125
55,-2932.103759765625,-3576.1865234375
56,-3012.491943359375,-3525.801025390625
57,-3047.4130859375,-2667.722900390625
58,-2919.92236328125,-2784.893310546875
59,-3054.65185546875,-2835.298095703125
60,-2914.65234375,-3066.82763671875
61,-2983.112548828125,-3131.173828125
62,-3124.38916015625,-3025.6005859375
63,-3072.16796875,-3322.4423828125
64,-2999.03515625,-3276.28466796875
65,-2957.03515625,-3052.68896484375
66,-3128.07958984375,-3403.954833984375
67,-3235.248779296875,-2373.70556640625
68,-3185.34619140625,-2919.66357421875
69,-3376.39599609375,-3748.046142578125
70,-3342.284912109375,-3187.255615234375
71,-3629.537353515625,-3981.566162109375
72,-3632.912353515625,-2835.58447265625
73,-3530.17041015625,-3288.827880859375
74,-3259.95263671875,-3689.306396484375
75,-3523.543212890625,-3830.06884765625
76,-3843.216064453125,-3791.774658203125
77,-3958.298583984375,-3305.599609375
78,-4127.18994140625,-4239.18994140625
79,-4278.72802734375,-4514.33447265625
80,-4401.37158203125,-4231.404296875
81,-4342.82763671875,-4408.0224609375
82,-4496.73583984375,-4925.16064453125
83,-4670.90625,-4759.18798828125
84,-4762.572265625,-4683.79541015625
85,-4917.158203125,-4794.9208984375
86,-5004.62939453125,-4685.7177734375
87,-4962.6123046875,-5491.765625
88,-5038.673828125,-5340.8203125
89,-5074.87451171875,-4852.21044921875
90,-4962.6298828125,-5369.51220703125
91,-5014.0771484375,-4933.71630859375
92,-5061.1884765625,-4695.57373046875
93,-5105.875,-5305.71484375
94,-5137.27978515625,-4993.8681640625
95,-4931.19091796875,-4076.5244140625
96,-4768.365234375,-4786.5498046875
97,-4803.4921875,-3334.7548828125
98,-4827.35205078125,-5563.5439453125
99,-5043.43212890625,-4433.009765625
100,-5016.1826171875,-4341.2333984375
101,-5120.9208984375,-5544.044921875
102,-5267.59375,-5462.49365234375
103,-5191.50537109375,-4809.54248046875
104,-5098.7275390625,-5010.3642578125
105,-5070.1298828125,-5657.27197265625
106,-5147.701171875,-4248.47412109375
107,-5210.16162109375,-4483.2880859375
108,-5016.05859375,-3842.115966796875
109,-4886.072265625,-4132.9599609375
110,-4988.82275390625,-2404.497802734375
111,-4921.53857421875,-4117.53271484375
112,-5257.5810546875,-4704.0849609375
113,-5498.72802734375,-5821.88671875
114,-5662.67626953125,-4043.49267578125
115,-5602.57421875,-5617.7685546875
116,-5608.30126953125,-5572.06005859375
117,-5845.24365234375,-5305.95263671875
118,-5805.22802734375,-5371.21533203125
119,-6127.765625,-5711.1943359375
120,-6061.12890625,-6012.7236328125
121,-6043.7041015625,-5719.49560546875
122,-6171.68603515625,-5407.982421875
123,-6250.623046875,-5502.095703125
124,-6369.09619140625,-5401.7373046875
125,-6179.9814453125,-6628.6025390625
126,-6360.85009765625,-5730.48779296875
127,-6398.14697265625,-6896.66552734375
128,-6417.453125,-5903.25830078125
129,-6270.09765625,-7019.7568359375
130,-6540.04052734375,-6721.42138671875
131,-6455.23583984375,-4622.392578125
132,-6611.18212890625,-7491.44677734375
133,-6734.5087890625,-6831.41796875
134,-6822.52099609375,-6405.25390625
135,-6689.85107421875,-6913.6240234375
136,-6752.15283203125,-6905.7255859375
137,-6874.44677734375,-7283.32666015625
138,-6914.31591796875,-7868.6298828125
139,-6817.1318359375,-7456.865234375
140,-6816.3330078125,-7143.90185546875
141,-6963.36279296875,-6201.744140625
142,-7095.208984375,-6747.50537109375
143,-7064.5224609375,-7174.435546875
144,-7115.3583984375,-7229.9541015625
145,-6993.15478515625,-7352.5263671875
146,-7190.91259765625,-6569.75439453125
147,-7080.326171875,-7692.37353515625
148,-7210.41943359375,-7790.525390625
149,-7230.72412109375,-7967.4453125
150,-7283.216796875,-6496.4072265625
151,-7160.80078125,-7499.57470703125
152,-7267.53271484375,-6933.2431640625
153,-7349.64501953125,-6318.28564453125
154,-7370.1279296875,-8257.0634765625
155,-7741.658203125,-7787.5361328125
156,-8019.76904296875,-6915.01513671875
157,-7845.4189453125,-5989.2138671875
158,-7643.029296875,-8541.9453125
159,-7581.7734375,-7548.22119140625
160,-7932.212890625,-8958.9375
161,-7783.98681640625,-7526.9736328125
162,-7787.7265625,-7176.35595703125
163,-7713.37744140625,-6175.5546875
164,-7878.29443359375,-7960.4296875
165,-7981.03662109375,-7728.54833984375
166,-7953.4580078125,-8854.1220703125
167,-7853.85302734375,-8168.54150390625
168,-7873.369140625,-8240.396484375
169,-7901.037109375,-8306.005859375
170,-8109.44775390625,-7185.09912109375
171,-8093.0927734375,-8759.09375
172,-8071.33837890625,-8788.9365234375
173,-8235.775390625,-8422.0625
174,-8388.693359375,-8632.16015625
175,-8431.5791015625,-8850.783203125
176,-8469.3056640625,-8780.9765625
177,-8557.8994140625,-8900.4228515625
178,-8612.31640625,-7623.978515625
179,-8695.24609375,-8266.2451171875
180,-8967.6943359375,-8991.513671875
181,-8862.0869140625,-9459.1455078125
182,-8768.5966796875,-7784.595703125
183,-9030.578125,-9584.6376953125
184,-9127.7890625,-8858.125
185,-9297.42578125,-8949.939453125
186,-9476.095703125,-9680.68359375
