epoch,loss,val_loss
0,76573.5,25768.751953125
1,19072.435546875,15216.0888671875
2,13245.5810546875,11252.0498046875
3,9956.31640625,8535.1923828125
4,8420.4765625,7672.77783203125
5,7427.50341796875,7139.09619140625
6,7375.77294921875,7357.72607421875
7,7176.2998046875,6374.978515625
8,6857.3623046875,7222.7783203125
9,6648.40673828125,6122.37744140625
10,6098.884765625,6526.45361328125
11,5892.84814453125,6374.5966796875
12,5672.12548828125,5329.98486328125
13,5407.72314453125,5236.79931640625
14,5202.9169921875,5088.4921875
15,5154.89599609375,5290.77490234375
16,5186.564453125,5245.4580078125
17,5152.32080078125,4904.53564453125
18,5112.61181640625,4900.7353515625
19,4743.3525390625,4406.03564453125
20,4588.59033203125,4462.15380859375
21,4306.822265625,4246.4521484375
22,4126.1181640625,3788.906005859375
23,3924.048583984375,3381.0068359375
24,3686.95556640625,3434.15478515625
25,3419.071533203125,3483.088134765625
26,3231.830078125,2817.48974609375
27,3009.93798828125,2520.015625
28,2830.628662109375,2207.486083984375
29,2184.069580078125,1403.1068115234375
30,1747.83251953125,1390.26611328125
31,1623.0968017578125,1673.2156982421875
32,1578.1483154296875,1451.429931640625
33,1258.40869140625,614.7199096679688
34,1022.529052734375,1586.3358154296875
35,1002.220947265625,1405.10009765625
36,741.8870849609375,798.8626098632812
37,482.1247253417969,1098.93212890625
38,604.4798583984375,119.78205108642578
39,559.6821899414062,465.9456787109375
40,246.80062866210938,1639.2623291015625
41,283.4670715332031,581.307373046875
42,227.7557373046875,266.980712890625
43,3.73895525932312,-528.184326171875
44,-168.00209045410156,-999.7815551757812
45,-251.81796264648438,-255.2420654296875
46,-314.1811828613281,-754.4058227539062
47,-286.986083984375,219.27255249023438
48,-367.6659851074219,-972.4693603515625
49,-501.3380126953125,-407.2139587402344
50,-685.296142578125,-616.0096435546875
51,-902.3978271484375,-1275.17138671875
52,-1079.6112060546875,-992.5051879882812
53,-1028.096923828125,-876.42041015625
54,-1050.2904052734375,-895.4822998046875
55,-941.9769287109375,-498.3989562988281
56,-982.2799682617188,-570.0624389648438
57,-1105.2037353515625,-1512.507080078125
58,-1157.110107421875,-159.3207550048828
